order_id,customer_id,order_date
1,1,2024-02-15
2,2,2024-02-18
3,3,2024-03-10
4,4,2024-01-20
6,6,2024-05-12
8,8,2024-06-02
9,9,2024-04-15
10,10,2024-03-22
21,1,2024-02-28
22,2,2024-04-01
23,3,2024-04-15
24,4,2024-05-10
25,5,2024-05-25
26,6,2024-06-01
27,7,2024-06-05
28,8,2024-06-10
29,9,2024-06-15
30,10,2024-06-20
32,12,2024-02-10
33,13,2024-03-12
34,14,2024-04-22
35,15,2024-05-30
36,16,2024-06-01
38,18,2024-06-15
39,19,2024-06-20
40,20,2024-06-25
41,1,2024-03-05
42,2,2024-03-15
43,3,2024-04-01
44,4,2024-04-10
45,5,2024-04-15
46,6,2024-04-20
47,7,2024-05-01
48,8,2024-05-05
49,9,2024-05-10
50,10,2024-05-15
51,11,2024-05-20
52,12,2024-05-25
54,14,2024-06-01
56,16,2024-06-10
57,17,2024-06-15
58,18,2024-06-20
59,19,2024-06-25
60,20,2024-06-30
61,1,2024-01-10
62,2,2024-01-15
63,3,2024-01-20
64,4,2024-01-25
65,5,2024-01-30
66,6,2024-02-05
67,7,2024-02-10
68,8,2024-02-15
69,9,2024-02-20
70,10,2024-02-25
71,11,2024-03-01
72,12,2024-03-10
73,13,2024-03-15
74,14,2024-03-20
75,15,2024-03-25
76,16,2024-03-30
77,17,2024-04-05
78,18,2024-04-10
79,19,2024-04-15
80,20,2024-04-20
81,1,2024-04-25
82,2,2024-05-01
83,3,2024-05-05
84,4,2024-05-10
85,5,2024-05-15
86,6,2024-05-20
87,7,2024-05-25
88,8,2024-05-30
89,9,2024-06-01
90,10,2024-06-05
91,11,2024-12-05
92,12,2024-11-10
93,13,2024-12-15
94,14,2024-10-20
95,15,2024-09-25
96,16,2024-08-30
97,17,2024-07-05
98,18,2024-08-10
99,19,2024-09-15
100,20,2024-10-20
101,21,2024-01-25
102,22,2024-09-26
103,23,2024-01-27
104,24,2024-05-28
105,25,2024-04-29
106,26,2024-03-02
107,27,2024-11-20
108,28,2024-10-03
109,29,2024-08-30
110,30,2024-07-29
111,31,2024-11-06
112,32,2024-12-08
113,33,2024-12-09
114,32,2024-12-10
115,31,2024-02-25
116,30,2024-01-28
117,29,2024-03-20
118,28,2024-04-20
119,27,2024-05-29
120,26,2024-06-14
121,30,2024-04-15
122,31,2024-04-16
123,25,2024-08-20
124,22,2024-01-15
125,34,2024-07-21
126,34,2024-07-19
127,33,2024-10-09
128,34,2024-09-29
129,32,2024-11-09
130,34,2024-07-09
